OBJECTID,Acres,PropID,UseCd,UseCdDesc,Jurisdicti,SHAPESTAre,SHAPESTLen,kmlgeometry
93547,0.467,172-282-33,11,Single-Resid. - Improved,Unincorporated,20347.341796875,581.1750851421986,"POLYGON ((38.0047541543659 -122.642628092636,38.0045878360269 -122.642949331887,38.0049769355986 -122.643306364861,38.0049772335327 -122.643305582071,38.0050526737501 -122.643111157084,38.005128822952 -122.642914901445,38.0047652560082 -122.642601350349,38.0047635475234 -122.642599877163,38.0047541543659 -122.642628092636))"
93548,0.161,172-321-63,11,Single-Resid. - Improved,Unincorporated,7047.546875,343.0228833201771,"POLYGON ((38.0020499192088 -122.637747518084,38.0020476069546 -122.637701681304,38.0020475711973 -122.637700916882,38.0019149446806 -122.637662075356,38.0019112509041 -122.637660994702,38.001903824305 -122.637712359601,38.0018583793639 -122.638026084665,38.0019838586515 -122.638086862691,38.0019841691741 -122.638084895646,38.0020658895651 -122.638065813972,38.0020656605182 -122.638061524735,38.0020499192088 -122.637747518084))"
93549,0.894,172-231-31,11,Single-Resid. - Improved,Unincorporated,38976.84765625,898.5997058687029,"POLYGON ((38.0029517552264 -122.637273689317,38.0029516683475 -122.637273749463,38.0029815233985 -122.637705507169,38.0029895016376 -122.637812091683,38.0034338402987 -122.637431342812,38.0035184171507 -122.637574070889,38.0037654738753 -122.637354568355,38.0035030123052 -122.636922203468,38.0035026708586 -122.636921641279,38.0033349021214 -122.636970417652,38.0031593246881 -122.637154555976,38.0029535334464 -122.637272533342,38.0029517552264 -122.637273689317))"
93550,0.328,172-231-08,11,Single-Resid. - Improved,Unincorporated,14328.541015625,564.2177667218953,"POLYGON ((38.0028883905028 -122.63727824419,38.0026988707968 -122.637979321909,38.0027003140278 -122.637980747739,38.0028303222557 -122.638109068512,38.0029076045962 -122.638084214762,38.0029815233985 -122.637705507169,38.0029516683475 -122.637273749463,38.0029459499777 -122.637276989912,38.0029400118594 -122.63727966591,38.0029338908073 -122.637281744304,38.0029276407898 -122.637283215544,38.002921303132 -122.63728406927,38.0029149314589 -122.637284295476,38.0029085760241 -122.637283895614,38.0029022765381 -122.63728287083,38.0028960873671 -122.63728122847,38.0028907430257 -122.637279240352,38.0028900581001 -122.637278987295,38.0028883905028 -122.63727824419))"
93551,0.426,172-121-09,11,Single-Resid. - Improved,Unincorporated,18584.609375,561.1285388670153,"POLYGON ((38.005347789598 -122.633040330367,38.0051374613108 -122.632755777022,38.0048217385086 -122.633067158978,38.0049413340964 -122.633439229353,38.005347789598 -122.633040330367))"
93552,0.227,172-181-17,11,Single-Resid. - Improved,Unincorporated,9892.458984375,516.5087839259664,"POLYGON ((38.0041080170067 -122.635754869062,38.0039379169287 -122.635045400958,38.0038229709364 -122.635097499454,38.0039769646446 -122.635797002453,38.0041080170067 -122.635754869062))"
93553,0.313,172-202-09,11,Single-Resid. - Improved,Unincorporated,13677.12890625,475.3090880995142,"POLYGON ((38.0076855719933 -122.641898623094,38.0077930239945 -122.641918589913,38.0079553614863 -122.641973975644,38.0080173630374 -122.641496552675,38.0077347619402 -122.641447308853,38.0076855719933 -122.641898623094))"
93554,0.137,172-111-09,11,Single-Resid. - Improved,Unincorporated,5994.38671875,355.0376968622859,"POLYGON ((38.0065309349498 -122.634137669527,38.0063744278304 -122.634577502771,38.0064898935167 -122.634647380846,38.0066228501763 -122.634276504782,38.0065309349498 -122.634137669527))"
93555,0.29,172-231-33,11,Single-Resid. - Improved,Unincorporated,12641.796875,474.6874779365288,"POLYGON ((38.0039411540973 -122.635998782725,38.0040385272145 -122.636524338483,38.0041741789917 -122.636517227555,38.0042543612462 -122.636487221261,38.0041532507028 -122.635945023344,38.0039411540973 -122.635998782725))"
93556,0.173,172-173-14,11,Single-Resid. - Improved,Unincorporated,7578.9296875,365.86632654994884,"POLYGON ((38.0062936329432 -122.634926548133,38.0062728920196 -122.635217968608,38.0063154824834 -122.635222654157,38.0063168089118 -122.635222800394,38.0063178914728 -122.635222996922,38.0063926952975 -122.635236778223,38.0063932567367 -122.635236879735,38.0063940413766 -122.635237101888,38.006468208989 -122.635257921525,38.0064685003927 -122.635258003695,38.0064689390046 -122.635258170098,38.006541961541 -122.635286013414,38.0066024204959 -122.635097449275,38.0062936329432 -122.634926548133))"
