Parcel,origin_osmid,dept_time,type,destin_osmid
19316212,312078495,0,local,110397253
19313324,110414599,0,local,110397253
19221202,110392602,0,local,110397253
19004133,110381097,0,local,110397253
19209132,110401284,0,local,110397253
19221210,110383333,0,local,110397253
19313310,110414599,0,local,110397253
19302026,110367804,0,local,110397253
19115117,110348621,0,local,110397253
19226207,110454526,0,local,110397253
19001205,110392830,0,local,110397253
19214226,110410673,0,local,110397253
18815083,110393217,0,local,110397253
19006219,110435305,0,local,110397253
18815059,110450104,0,local,110397253
19122221,110412268,0,local,110397253
18815064,110437088,0,local,110397253
19308115,2481944221,0,local,110397253
19208118,110383326,0,local,110397253
19114217,110348621,0,local,110397253
19203154,110358680,0,local,110397253
19004235,110441915,0,local,110397253
19307203,110393241,0,local,110397253
19021118,110392637,0,local,110397253
19112217,110392625,0,local,110397253
19017120,312072227,0,local,110397253
19117208,110392614,0,local,110397253
19218125,110392598,0,local,110397253
19208119,110383612,0,local,110397253
19219119,110392606,0,local,110397253
19215209,110392606,0,local,110397253
19104116,110422635,0,local,110397253
19108117,110443480,0,local,110397253
19313306,110421520,0,local,110397253
19212142,110383610,0,local,110397253
19310226,110443304,0,local,110397253
19014220,110421910,0,local,110397253
18815022,110393217,0,local,110397253
19208117,110419724,0,local,110397253
19022230,110388962,0,local,110397253
19205202,110382860,0,local,110397253
19120104,110417188,0,local,110397253
19214225,110438786,0,local,110397253
19310227,110443301,0,local,110397253
19311302,110386925,0,local,110397253
19003206,110387957,0,local,110397253
19216222,110419727,0,local,110397253
19314101,110421520,0,local,110397253
19212140,110419724,0,local,110397253
19007126,110455262,0,local,110397253
19214226,110410673,0,local,110397253
19226207,110454526,0,local,110397253
19313335,110421520,0,local,110397253
19224110,110372172,0,local,110397253
19205227,110383326,0,local,110397253
18815080,110393217,0,local,110397253
19005236,110381098,0,local,110397253
19302051,110367804,0,local,110397253
19008121,110412690,0,local,110397253
19108111,110443480,0,local,110397253
19222224,110392598,0,local,110397253
19115120,110348621,0,local,110397253
19310201,110350999,0,local,110397253
19308222,2481944221,0,local,110397253
19213210,110438785,0,local,110397253
19313311,110414599,0,local,110397253
19117208,110392614,0,local,110397253
19315122,110366250,0,local,110397253
18814050,110367728,0,local,110397253
19012219,110348357,0,local,110397253
19103210,110392611,0,local,110397253
19313238,110445895,0,local,110397253
19113114,110441857,0,local,110397253
19114116,110398029,0,local,110397253
19210220,110401282,0,local,110397253
19021118,110392637,0,local,110397253
19008121,110412690,0,local,110397253
19006217,110398036,0,local,110397253
19102238,110392620,0,local,110397253
19023114,110388962,0,local,110397253
19316223,110445895,0,local,110397253
19307517,110443298,0,local,110397253
19006217,110398036,0,local,110397253
18814032,110367725,0,local,110397253
19211132,110459167,0,local,110397253
19529014,110367804,0,local,110397253
19016124,110438781,0,local,110397253
19206221,110401284,0,local,110397253
19227006,3401274918,0,local,110397253
19308137,2481944221,0,local,110397253
19207121,110401288,0,local,110397253
19205230,110401286,0,local,110397253
19212230,110419727,0,local,110397253
19313228,110445895,0,local,110397253
19121115,110407258,0,local,110397253
19315120,110386925,0,local,110397253
19312101,110386918,0,local,110397253
19203162,3401274918,0,local,110397253
19021118,110392637,0,local,110397253
19116126,110435295,0,local,110397253
19308119,2481944221,0,local,110397253
19021123,110392637,0,local,110397253
18810023,110396428,0,local,110397253
19226207,110454526,0,local,110397253
19215232,110392609,0,local,110397253
19206224,110382863,0,local,110397253
19316227,312078495,0,local,110397253
19302051,110367804,0,local,110397253
19119215,110455254,0,local,110397253
19218230,110392600,0,local,110397253
19208118,110383326,0,local,110397253
19314215,1900719912,0,local,110397253
19303012,110381021,0,local,110397253
19310226,110443304,0,local,110397253
19307412,110351008,0,local,110397253
19212233,110419724,0,local,110397253
19309221,110386918,0,local,110397253
18817042,110436759,0,local,110397253
19008122,110412690,0,local,110397253
18818005,110393217,0,local,110397253
19214120,110410673,0,local,110397253
19103134,110438782,0,local,110397253
19314306,110443304,0,local,110397253
19012219,110348357,0,local,110397253
19115120,110348621,0,local,110397253
19209225,110401286,0,local,110397253
19313328,110429434,0,local,110397253
18814032,110367725,0,local,110397253
19313228,110445895,0,local,110397253
19310216,110443304,0,local,110397253
19117208,110392614,0,local,110397253
19307517,110443298,0,local,110397253
19308132,2481944221,0,local,110397253
19308207,110413465,0,local,110397253
19315119,110394015,0,local,110397253
19221223,110383333,0,local,110397253
18817052,3387083166,0,local,110397253
19206220,110401282,0,local,110397253
18810023,110396428,0,local,110397253
19210114,110401282,0,local,110397253
19215116,110438784,0,local,110397253
19313313,110414599,0,local,110397253
19314225,1900719912,0,local,110397253
19101135,110392622,0,local,110397253
19216134,110383607,0,local,110397253
19216222,110419727,0,local,110397253
19222227,110454526,0,local,110397253
19223211,110460424,0,local,110397253
18815022,110393217,0,local,110397253
19218213,110392598,0,local,110397253
19310212,110443304,0,local,110397253
18810036,110396428,0,local,110397253
19021121,110392637,0,local,110397253
19219119,110392606,0,local,110397253
19023226,110392630,0,local,110397253
19204132,3367883696,0,local,110397253
19017113,312072227,0,local,110397253
19316201,110445895,0,local,110397253
19313226,110421553,0,local,110397253
19212230,110419727,0,local,110397253
19014129,110398036,0,local,110397253
19124130,110388967,0,local,110397253
19217125,110438786,0,local,110397253
19313343,110421520,0,local,110397253
19001210,110401311,0,local,110397253
19307516,110393241,0,local,110397253
19204237,110358680,0,local,110397253
19307201,110393241,0,local,110397253
19225211,110457890,0,local,110397253
19214223,110438786,0,local,110397253
19205227,110383326,0,local,110397253
19218126,110392598,0,local,110397253
19120214,110417190,0,local,110397253
19120213,110407256,0,local,110397253
19121119,110407258,0,local,110397253
19218126,110392598,0,local,110397253
19017119,312072227,0,local,110397253
18814069,110367728,0,local,110397253
19208234,110419724,0,local,110397253
19216137,110383328,0,local,110397253
19020127,2366744030,0,local,110397253
18810019,110396428,0,local,110397253
19120214,110417190,0,local,110397253
19307201,110393241,0,local,110397253
19225107,110454526,0,local,110397253
19207121,110401288,0,local,110397253
18814072,110393217,0,local,110397253
19127125,110454761,0,local,110397253
19217226,110438785,0,local,110397253
19115120,110348621,0,local,110397253
19303012,110381021,0,local,110397253
19114217,110348621,0,local,110397253
19004132,110381098,0,local,110397253
19126125,110450446,0,local,110397253
19020210,312072177,0,local,110397253
19118215,110392611,0,local,110397253
19308211,2481944221,0,local,110397253
19212142,110383610,0,local,110397253
19011127,5071533350,0,local,110397253
19213131,110438785,0,local,110397253
19120110,110407258,0,local,110397253
19203162,3401274918,0,local,110397253
19215209,110392606,0,local,110397253
19013121,110381097,0,local,110397253
19312117,110451170,0,local,110397253
19023231,110392630,0,local,110397253
19308214,2481944221,0,local,110397253
19221126,110392600,0,local,110397253
19314109,110402623,0,local,110397253
18810004,110396428,0,local,110397253
19217125,110438786,0,local,110397253
19313328,110429434,0,local,110397253
19007121,110455262,0,local,110397253
19004134,110414478,0,local,110397253
19310202,110443299,0,local,110397253
19215116,110438784,0,local,110397253
19008138,110348362,0,local,110397253
19206224,110382863,0,local,110397253
18815058,110450104,0,local,110397253
19014221,110421909,0,local,110397253
19307516,110393241,0,local,110397253
19302025,110382886,0,local,110397253
19107118,110427102,0,local,110397253
19019131,2366744030,0,local,110397253
19306101,110393241,0,local,110397253
19008121,110412690,0,local,110397253
19215209,110392606,0,local,110397253
19221224,110383331,0,local,110397253
19225211,110457890,0,local,110397253
19222117,110392598,0,local,110397253
19112114,110450444,0,local,110397253
19219118,110392604,0,local,110397253
19311402,110443304,0,local,110397253
19310116,110421520,0,local,110397253
19310201,110350999,0,local,110397253
19116105,110461566,0,local,110397253
19224110,110372172,0,local,110397253
19217226,110438785,0,local,110397253
19225211,110457890,0,local,110397253
19316226,110445895,0,local,110397253
19119205,110461566,0,local,110397253
19313307,110421520,0,local,110397253
19219113,110459170,0,local,110397253
18814062,110367725,0,local,110397253
19308116,2481944221,0,local,110397253
19216136,110383607,0,local,110397253
18817040,110382760,0,local,110397253
19315120,110386925,0,local,110397253
19307201,110393241,0,local,110397253
19012217,110441918,0,local,110397253
19221210,110383333,0,local,110397253
19213131,110438785,0,local,110397253
19312102,110386918,0,local,110397253
19126124,110450446,0,local,110397253
19224110,110372172,0,local,110397253
19313201,110414599,0,local,110397253
19104134,110422635,0,local,110397253
19103234,110461563,0,local,110397253
19210223,110401282,0,local,110397253
19529015,110393217,0,local,110397253
19221124,110454526,0,local,110397253
19119218,110392614,0,local,110397253
19014220,110421910,0,local,110397253
19214116,110410673,0,local,110397253
19119215,110455254,0,local,110397253
19126125,110450446,0,local,110397253
19009209,110348362,0,local,110397253
19224111,110383333,0,local,110397253
19120104,110417188,0,local,110397253
19108125,3945189978,0,local,110397253
19310226,110443304,0,local,110397253
19108111,110443480,0,local,110397253
19003129,110348323,0,local,110397253
19307518,110443298,0,local,110397253
19017109,312072227,0,local,110397253
19021122,110365447,0,local,110397253
19101138,110398027,0,local,110397253
19016124,110438781,0,local,110397253
19212134,110383610,0,local,110397253
19307402,110351008,0,local,110397253
19208118,110383326,0,local,110397253
18810019,110396428,0,local,110397253
19125101,110388967,0,local,110397253
19106123,110422635,0,local,110397253
19316221,110445895,0,local,110397253
19219225,110460424,0,local,110397253
19013229,110441918,0,local,110397253
19213210,110438785,0,local,110397253
19009209,110348362,0,local,110397253
19310222,110443301,0,local,110397253
19529014,110367804,0,local,110397253
18815062,110437088,0,local,110397253
19124130,110388967,0,local,110397253
19125122,110450446,0,local,110397253
19128120,110417190,0,local,110397253
19221126,110392600,0,local,110397253
19206221,110401284,0,local,110397253
18814060,110367728,0,local,110397253
19302026,110367804,0,local,110397253
19122106,110412268,0,local,110397253
19221223,110383333,0,local,110397253
19101135,110392622,0,local,110397253
19016109,110460422,0,local,110397253
19220129,110372172,0,local,110397253
19220223,110372172,0,local,110397253
19221217,110392602,0,local,110397253
19215125,110392606,0,local,110397253
19316227,312078495,0,local,110397253
19004231,110414475,0,local,110397253
19316223,110445895,0,local,110397253
19115117,110348621,0,local,110397253
19020122,110421910,0,local,110397253
19314115,110443304,0,local,110397253
19106115,110422635,0,local,110397253
19307510,110393241,0,local,110397253
19021122,110365447,0,local,110397253
19211131,110419724,0,local,110397253
19308211,2481944221,0,local,110397253
19215124,110392606,0,local,110397253
19220201,110383607,0,local,110397253
19017109,312072227,0,local,110397253
19114217,110348621,0,local,110397253
18814053,110437088,0,local,110397253
19307208,110393241,0,local,110397253
19215241,110392609,0,local,110397253
19212231,110419727,0,local,110397253
19227001,3401274918,0,local,110397253
19103210,110392611,0,local,110397253
19314306,110443304,0,local,110397253
19108121,110443480,0,local,110397253
19303035,110414616,0,local,110397253
19308118,2481944221,0,local,110397253
19020210,312072177,0,local,110397253
18815088,110393217,0,local,110397253
19310115,110429434,0,local,110397253
19214205,110410673,0,local,110397253
19102233,110392617,0,local,110397253
19312140,110386918,0,local,110397253
19208115,110419724,0,local,110397253
19014221,110421909,0,local,110397253
19223112,110419729,0,local,110397253
19108111,110443480,0,local,110397253
19310201,110350999,0,local,110397253
19314223,110421540,0,local,110397253
19315123,110386925,0,local,110397253
